Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
36,Banten,Bawang Merah,2021,Januari,"Rp27,743"
51,Bali,Bawang Merah,2021,Januari,"Rp27,427"
52,Nusa Tenggara Barat,Bawang Merah,2021,Januari,"Rp32,182"
53,Nusa Tenggara Timur,Bawang Merah,2021,Januari,"Rp33,858"
61,Kalimantan Barat,Bawang Merah,2021,Januari,"Rp38,963"
62,Kalimantan Tengah,Bawang Merah,2021,Januari,"Rp33,121"
63,Kalimantan Selatan,Bawang Merah,2021,Januari,"Rp29,993"
64,Kalimantan Timur,Bawang Merah,2021,Januari,"Rp28,484"
65,Kalimantan Utara,Bawang Merah,2021,Januari,"Rp37,377"
71,Sulawesi Utara,Bawang Merah,2021,Januari,"Rp35,785"
72,Sulawesi Tengah,Bawang Merah,2021,Januari,"Rp33,976"
73,Sulawesi Selatan,Bawang Merah,2021,Januari,"Rp28,254"
74,Sulawesi Tenggara,Bawang Merah,2021,Januari,"Rp34,566"
75,Gorontalo,Bawang Merah,2021,Januari,"Rp29,483"
76,Sulawesi Barat,Bawang Merah,2021,Januari,"Rp25,912"
81,Maluku,Bawang Merah,2021,Januari,"Rp41,837"
82,Maluku Utara,Bawang Merah,2021,Januari,"Rp46,046"
91,Papua Barat,Bawang Merah,2021,Januari,"Rp45,785"
94,Papua,Bawang Merah,2021,Januari,"Rp45,377"
11,Aceh,Bawang Putih (Bonggol),2021,Januari,"Rp27,063"
12,Sumatera Utara,Bawang Putih (Bonggol),2021,Januari,"Rp26,620"
13,Sumatera Barat,Bawang Putih (Bonggol),2021,Januari,"Rp25,198"
14,Riau,Bawang Putih (Bonggol),2021,Januari,"Rp25,674"
15,Jambi,Bawang Putih (Bonggol),2021,Januari,"Rp23,505"
16,Sumatera Selatan,Bawang Putih (Bonggol),2021,Januari,"Rp24,007"
17,Bengkulu,Bawang Putih (Bonggol),2021,Januari,"Rp25,552"
18,Lampung,Bawang Putih (Bonggol),2021,Januari,"Rp24,985"
19,Kepulauan Bangka Belitung,Bawang Putih (Bonggol),2021,Januari,"Rp26,167"
21,Kepulauan Riau,Bawang Putih (Bonggol),2021,Januari,"Rp27,318"
31,DKI Jakarta,Bawang Putih (Bonggol),2021,Januari,"Rp28,339"
32,Jawa Barat,Bawang Putih (Bonggol),2021,Januari,"Rp25,971"
33,Jawa Tengah,Bawang Putih (Bonggol),2021,Januari,"Rp22,777"
34,DI Yogyakarta,Bawang Putih (Bonggol),2021,Januari,"Rp23,287"
35,Jawa Timur,Bawang Putih (Bonggol),2021,Januari,"Rp21,746"
36,Banten,Bawang Putih (Bonggol),2021,Januari,"Rp25,298"
51,Bali,Bawang Putih (Bonggol),2021,Januari,"Rp21,601"
52,Nusa Tenggara Barat,Bawang Putih (Bonggol),2021,Januari,"Rp28,273"
53,Nusa Tenggara Timur,Bawang Putih (Bonggol),2021,Januari,"Rp31,098"
61,Kalimantan Barat,Bawang Putih (Bonggol),2021,Januari,"Rp27,456"
62,Kalimantan Tengah,Bawang Putih (Bonggol),2021,Januari,"Rp27,673"
63,Kalimantan Selatan,Bawang Putih (Bonggol),2021,Januari,"Rp24,996"
64,Kalimantan Timur,Bawang Putih (Bonggol),2021,Januari,"Rp26,579"
65,Kalimantan Utara,Bawang Putih (Bonggol),2021,Januari,"Rp32,512"
71,Sulawesi Utara,Bawang Putih (Bonggol),2021,Januari,"Rp30,660"
72,Sulawesi Tengah,Bawang Putih (Bonggol),2021,Januari,"Rp32,797"
73,Sulawesi Selatan,Bawang Putih (Bonggol),2021,Januari,"Rp26,256"
74,Sulawesi Tenggara,Bawang Putih (Bonggol),2021,Januari,"Rp29,484"
75,Gorontalo,Bawang Putih (Bonggol),2021,Januari,"Rp30,070"
76,Sulawesi Barat,Bawang Putih (Bonggol),2021,Januari,"Rp25,238"
81,Maluku,Bawang Putih (Bonggol),2021,Januari,"Rp35,923"
82,Maluku Utara,Bawang Putih (Bonggol),2021,Januari,"Rp37,969"
91,Papua Barat,Bawang Putih (Bonggol),2021,Januari,"Rp37,910"
94,Papua,Bawang Putih (Bonggol),2021,Januari,"Rp34,474"
11,Aceh,Cabai Merah Keriting,2021,Januari,"Rp42,353"
12,Sumatera Utara,Cabai Merah Keriting,2021,Januari,"Rp43,565"
13,Sumatera Barat,Cabai Merah Keriting,2021,Januari,"Rp48,343"
14,Riau,Cabai Merah Keriting,2021,Januari,"Rp54,869"
15,Jambi,Cabai Merah Keriting,2021,Januari,"Rp48,969"
16,Sumatera Selatan,Cabai Merah Keriting,2021,Januari,"Rp55,463"
17,Bengkulu,Cabai Merah Keriting,2021,Januari,"Rp52,776"
18,Lampung,Cabai Merah Keriting,2021,Januari,"Rp50,439"
19,Kepulauan Bangka Belitung,Cabai Merah Keriting,2021,Januari,"Rp57,667"
21,Kepulauan Riau,Cabai Merah Keriting,2021,Januari,"Rp57,353"
31,DKI Jakarta,Cabai Merah Keriting,2021,Januari,"Rp56,500"
32,Jawa Barat,Cabai Merah Keriting,2021,Januari,"Rp50,100"
33,Jawa Tengah,Cabai Merah Keriting,2021,Januari,"Rp47,445"
34,DI Yogyakarta,Cabai Merah Keriting,2021,Januari,"Rp45,613"
35,Jawa Timur,Cabai Merah Keriting,2021,Januari,"Rp43,106"
36,Banten,Cabai Merah Keriting,2021,Januari,"Rp53,410"
51,Bali,Cabai Merah Keriting,2021,Januari,"Rp40,250"
52,Nusa Tenggara Barat,Cabai Merah Keriting,2021,Januari,"Rp53,247"
53,Nusa Tenggara Timur,Cabai Merah Keriting,2021,Januari,"Rp51,863"
61,Kalimantan Barat,Cabai Merah Keriting,2021,Januari,"Rp62,546"
62,Kalimantan Tengah,Cabai Merah Keriting,2021,Januari,"Rp58,531"
63,Kalimantan Selatan,Cabai Merah Keriting,2021,Januari,"Rp56,768"
64,Kalimantan Timur,Cabai Merah Keriting,2021,Januari,"Rp52,835"
65,Kalimantan Utara,Cabai Merah Keriting,2021,Januari,"Rp59,171"
71,Sulawesi Utara,Cabai Merah Keriting,2021,Januari,"Rp43,254"
72,Sulawesi Tengah,Cabai Merah Keriting,2021,Januari,"Rp41,129"
73,Sulawesi Selatan,Cabai Merah Keriting,2021,Januari,"Rp38,247"
74,Sulawesi Tenggara,Cabai Merah Keriting,2021,Januari,"Rp41,049"
75,Gorontalo,Cabai Merah Keriting,2021,Januari,"Rp37,984"
76,Sulawesi Barat,Cabai Merah Keriting,2021,Januari,"Rp40,580"
81,Maluku,Cabai Merah Keriting,2021,Januari,"Rp40,218"
82,Maluku Utara,Cabai Merah Keriting,2021,Januari,"Rp45,905"
91,Papua Barat,Cabai Merah Keriting,2021,Januari,"Rp60,382"
94,Papua,Cabai Merah Keriting,2021,Januari,"Rp36,790"
11,Aceh,Cabai Rawit Merah,2021,Januari,"Rp47,659"
12,Sumatera Utara,Cabai Rawit Merah,2021,Januari,"Rp55,619"
13,Sumatera Barat,Cabai Rawit Merah,2021,Januari,"Rp38,143"
14,Riau,Cabai Rawit Merah,2021,Januari,"Rp60,000"
15,Jambi,Cabai Rawit Merah,2021,Januari,"Rp65,255"
16,Sumatera Selatan,Cabai Rawit Merah,2021,Januari,"Rp69,437"
17,Bengkulu,Cabai Rawit Merah,2021,Januari,"Rp58,515"
18,Lampung,Cabai Rawit Merah,2021,Januari,"Rp57,444"
19,Kepulauan Bangka Belitung,Cabai Rawit Merah,2021,Januari,"Rp84,965"
21,Kepulauan Riau,Cabai Rawit Merah,2021,Januari,"Rp87,072"
31,DKI Jakarta,Cabai Rawit Merah,2021,Januari,"Rp81,199"
32,Jawa Barat,Cabai Rawit Merah,2021,Januari,"Rp78,998"
